id,timestamp,sensor_id,total
68902,8/18/2020 6:31,277,213
68903,8/18/2020 6:31,283,213
68904,8/18/2020 6:36,265,16
68905,8/18/2020 6:36,277,216
68906,8/18/2020 6:36,283,216
68907,8/18/2020 6:41,265,16
68908,8/18/2020 6:41,277,219
68909,8/18/2020 6:41,283,219
68910,8/18/2020 6:46,265,18
68911,8/18/2020 6:46,277,224
68912,8/18/2020 6:46,283,224
68913,8/18/2020 6:51,265,18
68914,8/18/2020 6:51,277,227
68915,8/18/2020 6:51,283,227
76573,8/26/2020 12:43,265,30
77108,8/26/2020 15:39,265,51
77644,8/28/2020 12:29,277,400
78218,8/31/2020 12:15,271,345
78781,8/31/2020 16:01,306,0
79324,8/31/2020 19:37,277,345
79897,8/31/2020 23:27,271,0
80455,9/1/2020 3:11,306,0
81001,9/1/2020 6:49,265,0
81550,9/1/2020 10:31,306,0
82117,9/1/2020 14:17,277,485
82668,9/1/2020 18:29,306,0
83237,9/1/2020 22:15,283,425
83784,9/2/2020 1:55,265,1
84327,9/2/2020 5:31,283,26
68148,8/17/2020 9:36,265,32
68149,8/17/2020 9:36,277,324
68150,8/17/2020 9:36,283,324
68916,8/18/2020 6:56,265,18
68917,8/18/2020 6:56,277,229
68918,8/18/2020 6:56,283,229
68919,8/18/2020 7:01,265,18
68920,8/18/2020 7:01,277,233
68921,8/18/2020 7:01,283,233
